GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Project1,com.web.config,EnvironmentConnUtil,11,27,0,2,2,9,1,3,1,2
Project1,com.web.config,PTConnUtil,3,32,0,2,1,10,0,4,0,3
Project1,com.web.config,SessionController,21,0,0,0,7,0,4,0,4,0
Project1,com.web.repository,UserDao,460,82,8,2,99,16,11,4,7,3
Project1,com.web.repository,ReimbursementDao,310,393,6,6,69,73,8,11,5,8
Project1,com.web.models,ReimbursementBuilt,136,0,0,0,55,0,23,0,23,0
Project1,com.web.models,UserBuilt,97,0,0,0,40,0,17,0,17,0
Project1,com.web.models,ReimbursementType,26,0,0,0,12,0,6,0,6,0
Project1,com.web.models,User,73,24,0,0,31,9,16,1,16,1
Project1,com.web.models,Reimbursement,46,90,0,0,19,36,5,18,5,18
Project1,com.web.models,UserRole,26,0,0,0,12,0,6,0,6,0
Project1,com.web.models,ReimbursementStatus,26,0,0,0,12,0,6,0,6,0
Project1,com.web.controller,UserController,54,0,4,0,15,0,5,0,3,0
Project1,com.web.driver,DriverForDao,18,0,0,0,5,0,2,0,2,0
Project1,com.web.service,ReimbursementService,12,59,2,6,2,21,2,9,0,7
Project1,com.web.service,UserService,22,41,1,3,2,12,1,5,0,4
Project1,com.web.servlet,TrafficServlet,27,0,0,0,5,0,3,0,3,0
Project1,com.web.servlet,InfoServlet,17,0,0,0,5,0,3,0,3,0
Project1,com.web.servlet,RequestForwarder,34,0,4,0,6,0,5,0,3,0
